,Year,Week,Date,Need States,Factory POS
127,2021,22,2021-05-31,Need State 2,381229.5
128,2021,22,2021-05-31,Need State 3,462633.0
129,2021,22,2021-05-31,Need State 4,381732.75
130,2021,22,2021-05-31,Need State 5,394731.75
131,2021,22,2021-05-31,Need State 6,605715.0
132,2021,23,2021-06-07,Need State 1,885507.75
133,2021,23,2021-06-07,Need State 2,434532.0
134,2021,23,2021-06-07,Need State 3,317057.25
135,2021,23,2021-06-07,Need State 4,424536.75
136,2021,23,2021-06-07,Need State 5,550308.75
137,2021,23,2021-06-07,Need State 6,600681.75
138,2021,24,2021-06-14,Need State 1,722193.75
139,2021,24,2021-06-14,Need State 2,390393.0
140,2021,24,2021-06-14,Need State 3,486275.25
141,2021,24,2021-06-14,Need State 4,403641.0
142,2021,24,2021-06-14,Need State 5,285318.75
143,2021,24,2021-06-14,Need State 6,569337.75
144,2021,25,2021-06-21,Need State 1,818238.75
145,2021,25,2021-06-21,Need State 2,369716.25
146,2021,25,2021-06-21,Need State 3,301119.0
147,2021,25,2021-06-21,Need State 4,373848.75
148,2021,25,2021-06-21,Need State 5,431457.0
149,2021,25,2021-06-21,Need State 6,614652.75
150,2021,26,2021-06-28,Need State 1,693630.75
151,2021,26,2021-06-28,Need State 2,334209.0
152,2021,26,2021-06-28,Need State 3,487630.5
153,2021,26,2021-06-28,Need State 4,384365.25
154,2021,26,2021-06-28,Need State 5,423452.25
155,2021,26,2021-06-28,Need State 6,608798.25
156,2021,27,2021-07-05,Need State 1,605286.75
157,2021,27,2021-07-05,Need State 2,343597.5
158,2021,27,2021-07-05,Need State 3,337101.0
159,2021,27,2021-07-05,Need State 4,383634.0
160,2021,27,2021-07-05,Need State 5,359622.0
161,2021,27,2021-07-05,Need State 6,572934.0
162,2021,28,2021-07-12,Need State 1,593844.0
163,2021,28,2021-07-12,Need State 2,314562.75
164,2021,28,2021-07-12,Need State 3,444928.5
165,2021,28,2021-07-12,Need State 4,407671.5
166,2021,28,2021-07-12,Need State 5,221511.0
167,2021,28,2021-07-12,Need State 6,634277.25
168,2021,29,2021-07-19,Need State 1,559867.5
169,2021,29,2021-07-19,Need State 2,382468.5
170,2021,29,2021-07-19,Need State 3,313857.75
171,2021,29,2021-07-19,Need State 4,412947.0
172,2021,29,2021-07-19,Need State 5,185678.25
