,Year,Week,Date,Need States,Dc Amount,Store Amt On Hand
87,2021,15,2021-04-12,Need State 4,1009769.25,1968021.75
88,2021,15,2021-04-12,Need State 5,1538060.25,3106954.5
89,2021,15,2021-04-12,Need State 6,1681434.0,2840211.75
90,2021,16,2021-04-19,Need State 1,4819831.5,5164899.0
91,2021,16,2021-04-19,Need State 2,1391682.0,2637725.25
92,2021,16,2021-04-19,Need State 3,1660808.25,4025804.25
93,2021,16,2021-04-19,Need State 4,1048158.0,1994679.0
94,2021,16,2021-04-19,Need State 5,1767557.25,2933437.5
95,2021,16,2021-04-19,Need State 6,1744170.0,2925371.25
96,2021,17,2021-04-26,Need State 1,4738584.0,5607678.0
97,2021,17,2021-04-26,Need State 2,1275079.5,2596359.0
98,2021,17,2021-04-26,Need State 3,1560168.75,4114212.75
99,2021,17,2021-04-26,Need State 4,1045552.5,1839399.75
100,2021,17,2021-04-26,Need State 5,1871906.25,2954375.25
101,2021,17,2021-04-26,Need State 6,1576297.5,3272585.25
102,2021,18,2021-05-03,Need State 1,4768413.75,5416505.25
103,2021,18,2021-05-03,Need State 2,1146483.75,2548607.25
104,2021,18,2021-05-03,Need State 3,1455246.0,3989791.5
105,2021,18,2021-05-03,Need State 4,1046663.25,1922343.0
106,2021,18,2021-05-03,Need State 5,2165765.25,2860964.25
107,2021,18,2021-05-03,Need State 6,1479793.5,3137842.5
108,2021,19,2021-05-10,Need State 1,4185400.5,5377881.0
109,2021,19,2021-05-10,Need State 2,1050811.5,2477178.75
110,2021,19,2021-05-10,Need State 3,1371755.25,3961887.75
111,2021,19,2021-05-10,Need State 4,975624.0,1894047.75
112,2021,19,2021-05-10,Need State 5,2000991.0,2879776.5
113,2021,19,2021-05-10,Need State 6,1363840.5,3079540.5
114,2021,20,2021-05-17,Need State 1,3583250.25,5136009.0
115,2021,20,2021-05-17,Need State 2,868528.5,2407791.0
116,2021,20,2021-05-17,Need State 3,1223383.5,3960268.5
117,2021,20,2021-05-17,Need State 4,955018.5,1817964.75
118,2021,20,2021-05-17,Need State 5,1685070.0,2803767.0
119,2021,20,2021-05-17,Need State 6,1499818.5,3003623.25
120,2021,21,2021-05-24,Need State 1,4222021.5,5352915.75
121,2021,21,2021-05-24,Need State 2,967109.25,2363865.0
122,2021,21,2021-05-24,Need State 3,1291726.5,3856012.5
123,2021,21,2021-05-24,Need State 4,737964.75,1900607.25
124,2021,21,2021-05-24,Need State 5,1376120.25,2744557.5
125,2021,21,2021-05-24,Need State 6,1743870.75,2911711.5
126,2021,22,2021-05-31,Need State 1,3720159.75,5118456.75
127,2021,22,2021-05-31,Need State 2,947630.25,2310818.25
128,2021,22,2021-05-31,Need State 3,1263054.75,3811452.0
129,2021,22,2021-05-31,Need State 4,668391.0,1806172.5
130,2021,22,2021-05-31,Need State 5,1171755.0,2728202.25
131,2021,22,2021-05-31,Need State 6,1767940.5,2751394.5
132,2021,23,2021-06-07,Need State 1,3057247.5,4931239.5
133,2021,23,2021-06-07,Need State 2,1008118.5,2371276.5
134,2021,23,2021-06-07,Need State 3,1341347.25,3720621.0
135,2021,23,2021-06-07,Need State 4,718674.0,1791743.25
136,2021,23,2021-06-07,Need State 5,1096478.25,2593535.25
137,2021,23,2021-06-07,Need State 6,1824477.75,2767479.0
138,2021,24,2021-06-14,Need State 1,2618924.25,4965363.0
139,2021,24,2021-06-14,Need State 2,1035546.0,2400779.25
140,2021,24,2021-06-14,Need State 3,1431467.25,3743088.0
141,2021,24,2021-06-14,Need State 4,854339.25,1786854.75
142,2021,24,2021-06-14,Need State 5,1051805.25,2451822.0
143,2021,24,2021-06-14,Need State 6,1646009.25,2780427.75
144,2021,25,2021-06-21,Need State 1,2493813.75,5521113.0
145,2021,25,2021-06-21,Need State 2,1138927.5,2421497.25
146,2021,25,2021-06-21,Need State 3,1583995.5,3708614.25
147,2021,25,2021-06-21,Need State 4,797413.5,1887614.25
148,2021,25,2021-06-21,Need State 5,877903.5,2425776.75
149,2021,25,2021-06-21,Need State 6,1826739.0,2871897.0
150,2021,26,2021-06-28,Need State 1,2210718.75,5171770.5
151,2021,26,2021-06-28,Need State 2,1111259.25,2436282.0
152,2021,26,2021-06-28,Need State 3,1459056.0,3845141.25
153,2021,26,2021-06-28,Need State 4,699206.25,1955033.25
154,2021,26,2021-06-28,Need State 5,732788.25,2325798.0
155,2021,26,2021-06-28,Need State 6,1621996.5,2766897.75
156,2021,27,2021-07-05,Need State 1,2800599.0,4893369.0
157,2021,27,2021-07-05,Need State 2,1324496.25,2417480.25
158,2021,27,2021-07-05,Need State 3,1745280.75,3677203.5
159,2021,27,2021-07-05,Need State 4,778773.75,1917724.5
160,2021,27,2021-07-05,Need State 5,566187.0,2216307.0
161,2021,27,2021-07-05,Need State 6,1546185.75,2614302.0
162,2021,28,2021-07-12,Need State 1,2485851.75,4834065.75
163,2021,28,2021-07-12,Need State 2,1349715.75,2390312.25
164,2021,28,2021-07-12,Need State 3,1986576.75,3783186.0
165,2021,28,2021-07-12,Need State 4,855797.25,1879984.5
166,2021,28,2021-07-12,Need State 5,634808.25,2051960.25
167,2021,28,2021-07-12,Need State 6,1573091.25,2653616.25
168,2021,29,2021-07-19,Need State 1,1875072.75,4766124.0
169,2021,29,2021-07-19,Need State 2,1154028.75,2401224.75
170,2021,29,2021-07-19,Need State 3,1820496.0,4290505.5
171,2021,29,2021-07-19,Need State 4,566878.5,2017026.0
172,2021,29,2021-07-19,Need State 5,569079.75,2022538.5
173,2021,29,2021-07-19,Need State 6,1293765.0,3060789.0
174,2021,30,2021-07-26,Need State 1,2189743.5,4648371.75
175,2021,30,2021-07-26,Need State 2,1111641.75,2396415.75
176,2021,30,2021-07-26,Need State 3,1806902.25,4330515.0
177,2021,30,2021-07-26,Need State 4,765851.25,1952043.75
178,2021,30,2021-07-26,Need State 5,540206.25,1928239.5
179,2021,30,2021-07-26,Need State 6,1313214.0,3056483.25
180,2021,31,2021-08-02,Need State 1,2304342.0,4475928.0
181,2021,31,2021-08-02,Need State 2,1312462.5,2581758.75
182,2021,31,2021-08-02,Need State 3,1583692.5,4288314.0
183,2021,31,2021-08-02,Need State 4,711614.25,1922523.75
184,2021,31,2021-08-02,Need State 5,496543.5,1715198.25
185,2021,31,2021-08-02,Need State 6,1398315.75,2969897.25
186,2021,32,2021-08-09,Need State 1,2227295.25,4442744.25
187,2021,32,2021-08-09,Need State 2,1290095.25,2537719.5
188,2021,32,2021-08-09,Need State 3,1461759.0,4235473.5
189,2021,32,2021-08-09,Need State 4,937434.75,1868707.5
190,2021,32,2021-08-09,Need State 5,523584.75,1577806.5
191,2021,32,2021-08-09,Need State 6,1293193.5,2860116.75
192,2021,33,2021-08-16,Need State 1,2402760.0,4599898.5
193,2021,33,2021-08-16,Need State 2,1389190.5,2730018.0
194,2021,33,2021-08-16,Need State 3,1584912.75,4344857.25
195,2021,33,2021-08-16,Need State 4,1362579.75,1933717.5
196,2021,33,2021-08-16,Need State 5,491658.0,1522392.75
197,2021,33,2021-08-16,Need State 6,2015001.0,2788848.75
198,2021,34,2021-08-23,Need State 1,2229888.75,4435625.25
199,2021,34,2021-08-23,Need State 2,1262043.75,2700122.25
200,2021,34,2021-08-23,Need State 3,1441704.0,4282995.0
201,2021,34,2021-08-23,Need State 4,1240429.5,2095533.0
202,2021,34,2021-08-23,Need State 5,469830.75,1443813.0
203,2021,34,2021-08-23,Need State 6,1944154.5,2789075.25
204,2021,35,2021-08-30,Need State 1,2009406.0,4368488.25
205,2021,35,2021-08-30,Need State 2,1082334.75,2671679.25
206,2021,35,2021-08-30,Need State 3,1199376.0,4216323.0
207,2021,35,2021-08-30,Need State 4,845853.75,2182830.75
208,2021,35,2021-08-30,Need State 5,456770.25,1394332.5
209,2021,35,2021-08-30,Need State 6,1767913.5,2754104.25
210,2021,36,2021-09-06,Need State 1,1811052.75,4328462.25
211,2021,36,2021-09-06,Need State 2,892539.0,2635284.0
212,2021,36,2021-09-06,Need State 3,1071735.75,4210149.75
213,2021,36,2021-09-06,Need State 4,785573.25,2148377.25
214,2021,36,2021-09-06,Need State 5,436785.75,1352081.25
215,2021,36,2021-09-06,Need State 6,1573385.25,2780260.5
216,2021,37,2021-09-13,Need State 1,1978428.75,4202687.25
217,2021,37,2021-09-13,Need State 2,743238.0,2678554.5
218,2021,37,2021-09-13,Need State 3,950578.5,4199922.0
219,2021,37,2021-09-13,Need State 4,910599.0,2206621.5
220,2021,37,2021-09-13,Need State 5,415316.25,1187435.25
221,2021,37,2021-09-13,Need State 6,1627945.5,2755306.5
222,2021,38,2021-09-20,Need State 1,1837530.0,4189131.0
223,2021,38,2021-09-20,Need State 2,680382.75,2622080.25
224,2021,38,2021-09-20,Need State 3,956617.5,4246850.25
225,2021,38,2021-09-20,Need State 4,794007.75,2215599.0
226,2021,38,2021-09-20,Need State 5,403522.5,1048380.75
227,2021,38,2021-09-20,Need State 6,1580968.5,2849205.0
228,2021,39,2021-09-27,Need State 1,2153181.75,4201519.5
229,2021,39,2021-09-27,Need State 2,638931.75,2670129.0
230,2021,39,2021-09-27,Need State 3,1034995.5,4186123.5
231,2021,39,2021-09-27,Need State 4,720269.25,2319528.75
232,2021,39,2021-09-27,Need State 5,363399.0,999865.5
233,2021,39,2021-09-27,Need State 6,1637346.0,2786768.25
234,2021,40,2021-10-04,Need State 1,2187683.25,4133904.75
235,2021,40,2021-10-04,Need State 2,664379.25,2562806.25
236,2021,40,2021-10-04,Need State 3,1095846.0,4117729.5
237,2021,40,2021-10-04,Need State 4,864545.25,2159055.0
238,2021,40,2021-10-04,Need State 5,352750.5,954462.0
239,2021,40,2021-10-04,Need State 6,1685004.75,2773452.75
240,2021,41,2021-10-11,Need State 1,2287858.5,4154016.75
241,2021,41,2021-10-11,Need State 2,746744.25,3374835.75
242,2021,41,2021-10-11,Need State 3,930310.5,4280195.25
243,2021,41,2021-10-11,Need State 4,1299327.75,2293140.75
244,2021,41,2021-10-11,Need State 5,341005.5,932326.5
245,2021,41,2021-10-11,Need State 6,1812618.75,2745588.0
246,2021,42,2021-10-18,Need State 1,2258578.5,4131496.5
247,2021,42,2021-10-18,Need State 2,898696.5,3382311.75
248,2021,42,2021-10-18,Need State 3,1122779.25,4359278.25
249,2021,42,2021-10-18,Need State 4,1289298.75,2320704.0
250,2021,42,2021-10-18,Need State 5,226942.5,920925.75
251,2021,42,2021-10-18,Need State 6,1935176.25,2767561.5
252,2021,43,2021-10-25,Need State 1,2078940.0,4084359.0
253,2021,43,2021-10-25,Need State 2,992579.25,3350259.0
254,2021,43,2021-10-25,Need State 3,1037039.25,4266784.5
255,2021,43,2021-10-25,Need State 4,1066103.25,2292237.75
256,2021,43,2021-10-25,Need State 5,294897.75,913094.25
257,2021,43,2021-10-25,Need State 6,1915487.25,2781456.75
258,2021,44,2021-11-01,Need State 1,1967236.5,4090227.75
259,2021,44,2021-11-01,Need State 2,1018754.25,3295037.25
260,2021,44,2021-11-01,Need State 3,959034.0,4243719.75
261,2021,44,2021-11-01,Need State 4,827304.75,2325026.25
262,2021,44,2021-11-01,Need State 5,182847.75,893018.25
263,2021,44,2021-11-01,Need State 6,1916636.25,2733363.0
264,2021,45,2021-11-08,Need State 1,1766007.75,4037955.0
265,2021,45,2021-11-08,Need State 2,1280847.75,3233085.0
266,2021,45,2021-11-08,Need State 3,1075995.75,4159340.25
267,2021,45,2021-11-08,Need State 4,909246.0,2283995.25
268,2021,45,2021-11-08,Need State 5,172085.25,881946.0
269,2021,45,2021-11-08,Need State 6,1871563.5,2669148.75
270,2021,46,2021-11-15,Need State 1,1772478.75,3977697.0
271,2021,46,2021-11-15,Need State 2,1209935.25,3219830.25
272,2021,46,2021-11-15,Need State 3,1094258.25,4106807.25
273,2021,46,2021-11-15,Need State 4,962713.5,2203873.5
274,2021,46,2021-11-15,Need State 5,168414.0,867792.75
275,2021,46,2021-11-15,Need State 6,1763832.0,2673528.0
276,2021,47,2021-11-22,Need State 1,1709643.0,3933765.0
277,2021,47,2021-11-22,Need State 2,1146784.5,3272108.25
278,2021,47,2021-11-22,Need State 3,1245589.5,4068462.75
279,2021,47,2021-11-22,Need State 4,1012397.25,2101588.5
280,2021,47,2021-11-22,Need State 5,169581.75,862029.75
281,2021,47,2021-11-22,Need State 6,1611594.0,2616399.75
282,2021,48,2021-11-29,Need State 1,1648735.5,3926124.0
283,2021,48,2021-11-29,Need State 2,1224609.75,3343976.25
284,2021,48,2021-11-29,Need State 3,1250385.75,4030890.75
285,2021,48,2021-11-29,Need State 4,1112517.0,2050989.0
286,2021,48,2021-11-29,Need State 5,162201.75,857832.0
287,2021,48,2021-11-29,Need State 6,1481349.0,2597160.0
288,2021,49,2021-12-06,Need State 1,1799262.75,3923584.5
289,2021,49,2021-12-06,Need State 2,1183906.5,3250760.25
290,2021,49,2021-12-06,Need State 3,1140785.25,3980202.0
291,2021,49,2021-12-06,Need State 4,1030555.5,2067675.75
292,2021,49,2021-12-06,Need State 5,186630.75,849217.5
293,2021,49,2021-12-06,Need State 6,1337476.5,2567355.0
294,2021,50,2021-12-13,Need State 1,1764952.5,3890427.0
295,2021,50,2021-12-13,Need State 2,1216697.25,3129087.0
296,2021,50,2021-12-13,Need State 3,1277717.25,3952218.0
297,2021,50,2021-12-13,Need State 4,1057341.75,1960471.5
298,2021,50,2021-12-13,Need State 5,187236.75,831126.0
299,2021,50,2021-12-13,Need State 6,1384009.5,2520814.5
300,2021,51,2021-12-20,Need State 1,1805510.25,3849951.0
301,2021,51,2021-12-20,Need State 2,951240.0,2870991.75
302,2021,51,2021-12-20,Need State 3,1309312.5,3794686.5
303,2021,51,2021-12-20,Need State 4,948471.0,1940378.25
304,2021,51,2021-12-20,Need State 5,178176.0,838800.75
305,2021,51,2021-12-20,Need State 6,1391955.0,2387293.5
306,2021,52,2021-12-27,Need State 1,1952004.0,3872801.25
307,2021,52,2021-12-27,Need State 2,843687.0,2758899.0
308,2021,52,2021-12-27,Need State 3,1110202.5,3896245.5
309,2021,52,2021-12-27,Need State 4,1039656.0,1992052.5
310,2021,52,2021-12-27,Need State 5,193203.0,861502.5
311,2021,52,2021-12-27,Need State 6,1328466.0,2419987.5
312,2022,1,2022-01-03,Need State 1,1849125.0,3833880.75
313,2022,1,2022-01-03,Need State 2,727968.0,2741374.5
314,2022,1,2022-01-03,Need State 3,1043247.0,3964887.75
315,2022,1,2022-01-03,Need State 4,794529.75,2049757.5
316,2022,1,2022-01-03,Need State 5,174625.5,863618.25
317,2022,1,2022-01-03,Need State 6,1429727.25,2410957.5
318,2022,2,2022-01-10,Need State 1,1886235.0,3846775.5
319,2022,2,2022-01-10,Need State 2,688170.0,2700783.0
320,2022,2,2022-01-10,Need State 3,1016256.0,3898632.0
321,2022,2,2022-01-10,Need State 4,867558.0,1976493.0
322,2022,2,2022-01-10,Need State 5,195345.75,854471.25
323,2022,2,2022-01-10,Need State 6,1388792.25,2434471.5
324,2022,3,2022-01-17,Need State 1,1966980.0,3852201.0
325,2022,3,2022-01-17,Need State 2,727232.25,2690676.75
326,2022,3,2022-01-17,Need State 3,1205241.75,3800191.5
327,2022,3,2022-01-17,Need State 4,1080168.75,1947301.5
328,2022,3,2022-01-17,Need State 5,198354.75,849681.0
329,2022,3,2022-01-17,Need State 6,1434927.75,2376165.75
330,2022,4,2022-01-24,Need State 1,1784772.0,3850652.25
331,2022,4,2022-01-24,Need State 2,741632.25,2648196.75
332,2022,4,2022-01-24,Need State 3,1246990.5,3807639.0
333,2022,4,2022-01-24,Need State 4,928840.5,1952948.25
334,2022,4,2022-01-24,Need State 5,178992.0,844506.75
335,2022,4,2022-01-24,Need State 6,1262213.25,2353557.0
336,2022,5,2022-01-31,Need State 1,1809055.5,4080468.75
337,2022,5,2022-01-31,Need State 2,648354.0,2575325.25
338,2022,5,2022-01-31,Need State 3,1203952.5,3723685.5
339,2022,5,2022-01-31,Need State 4,824669.25,2042387.25
340,2022,5,2022-01-31,Need State 5,231534.75,840153.75
341,2022,5,2022-01-31,Need State 6,1408445.25,2423676.0
342,2022,6,2022-02-07,Need State 1,1737505.5,4045948.5
343,2022,6,2022-02-07,Need State 2,627284.25,2542923.75
344,2022,6,2022-02-07,Need State 3,1496976.0,3713264.25
345,2022,6,2022-02-07,Need State 4,1041308.25,2017749.75
346,2022,6,2022-02-07,Need State 5,225524.25,834605.25
347,2022,6,2022-02-07,Need State 6,1258310.25,2383083.0
348,2022,7,2022-02-14,Need State 1,1792991.25,3863763.0
349,2022,7,2022-02-14,Need State 2,766714.5,2430100.5
350,2022,7,2022-02-14,Need State 3,1586227.5,3590558.25
351,2022,7,2022-02-14,Need State 4,948331.5,1977548.25
352,2022,7,2022-02-14,Need State 5,204607.5,786064.5
353,2022,7,2022-02-14,Need State 6,1213172.25,2360500.5
354,2022,8,2022-02-21,Need State 1,1737123.0,4018358.25
355,2022,8,2022-02-21,Need State 2,657087.75,2478526.5
356,2022,8,2022-02-21,Need State 3,1194807.0,3721557.75
357,2022,8,2022-02-21,Need State 4,911358.0,2051508.75
358,2022,8,2022-02-21,Need State 5,193338.0,793143.0
359,2022,8,2022-02-21,Need State 6,1109968.5,2372595.75
360,2022,9,2022-02-28,Need State 1,2300770.5,4198659.75
361,2022,9,2022-02-28,Need State 2,687194.25,2451921.0
362,2022,9,2022-02-28,Need State 3,1201031.25,3860166.0
363,2022,9,2022-02-28,Need State 4,957188.25,1996818.0
364,2022,9,2022-02-28,Need State 5,200004.0,776436.0
365,2022,9,2022-02-28,Need State 6,1485303.0,2287695.75
366,2022,10,2022-03-07,Need State 1,3368703.75,4237740.75
367,2022,10,2022-03-07,Need State 2,688646.25,2446062.75
368,2022,10,2022-03-07,Need State 3,1179682.5,3869143.5
369,2022,10,2022-03-07,Need State 4,991293.0,2058103.5
370,2022,10,2022-03-07,Need State 5,686337.0,758295.0
371,2022,10,2022-03-07,Need State 6,1825563.0,2241596.25
372,2022,11,2022-03-14,Need State 1,3815302.5,4206561.0
373,2022,11,2022-03-14,Need State 2,696391.5,2479667.25
374,2022,11,2022-03-14,Need State 3,1152363.75,3787143.75
375,2022,11,2022-03-14,Need State 4,879493.5,2037232.5
376,2022,11,2022-03-14,Need State 5,811782.0,714885.0
377,2022,11,2022-03-14,Need State 6,1877154.0,2207578.5
378,2022,12,2022-03-21,Need State 1,3192620.25,4200300.75
379,2022,12,2022-03-21,Need State 2,786270.0,2456478.0
380,2022,12,2022-03-21,Need State 3,1170600.75,3728396.25
381,2022,12,2022-03-21,Need State 4,700431.75,1957279.5
382,2022,12,2022-03-21,Need State 5,760760.25,746764.5
383,2022,12,2022-03-21,Need State 6,1897170.75,2230218.75
384,2022,13,2022-03-28,Need State 1,4098109.5,4931589.0
385,2022,13,2022-03-28,Need State 2,750130.5,2450426.25
386,2022,13,2022-03-28,Need State 3,1157227.5,3695260.5
387,2022,13,2022-03-28,Need State 4,822378.75,1985205.0
388,2022,13,2022-03-28,Need State 5,1521032.25,1200894.0
389,2022,13,2022-03-28,Need State 6,1942269.0,2263941.0
390,2022,14,2022-04-04,Need State 1,4751574.0,4873329.0
391,2022,14,2022-04-04,Need State 2,778464.75,2405337.75
392,2022,14,2022-04-04,Need State 3,1319388.75,3686928.75
393,2022,14,2022-04-04,Need State 4,827025.0,1925391.0
394,2022,14,2022-04-04,Need State 5,2214831.0,1252852.5
395,2022,14,2022-04-04,Need State 6,2494069.5,2344998.75
396,2022,15,2022-04-11,Need State 1,4823778.0,4787475.0
397,2022,15,2022-04-11,Need State 2,654268.5,2342972.25
398,2022,15,2022-04-11,Need State 3,1152492.75,3681702.0
399,2022,15,2022-04-11,Need State 4,614841.75,1808111.25
400,2022,15,2022-04-11,Need State 5,1650714.0,1527018.0
401,2022,15,2022-04-11,Need State 6,2352318.75,2357904.0
402,2022,16,2022-04-18,Need State 1,4390458.75,4729499.25
403,2022,16,2022-04-18,Need State 2,601455.0,2368101.0
404,2022,16,2022-04-18,Need State 3,1056108.75,3648184.5
405,2022,16,2022-04-18,Need State 4,624639.75,1719077.25
406,2022,16,2022-04-18,Need State 5,1631232.75,2282793.75
407,2022,16,2022-04-18,Need State 6,2580547.5,2452368.0
408,2022,17,2022-04-25,Need State 1,4328567.25,5323525.5
409,2022,17,2022-04-25,Need State 2,634131.75,2377780.5
410,2022,17,2022-04-25,Need State 3,1283388.75,3688877.25
411,2022,17,2022-04-25,Need State 4,694266.75,1666168.5
412,2022,17,2022-04-25,Need State 5,1604514.0,2383749.0
413,2022,17,2022-04-25,Need State 6,2457244.5,2665329.0
414,2022,18,2022-05-02,Need State 1,4510617.0,5426955.0
415,2022,18,2022-05-02,Need State 2,728430.0,2425101.0
416,2022,18,2022-05-02,Need State 3,1487045.25,3714513.75
417,2022,18,2022-05-02,Need State 4,722916.75,1741586.25
418,2022,18,2022-05-02,Need State 5,2219390.25,2292835.5
419,2022,18,2022-05-02,Need State 6,3042759.0,2740159.5
420,2022,19,2022-05-09,Need State 1,4581154.5,5338629.75
421,2022,19,2022-05-09,Need State 2,715961.25,2397145.5
422,2022,19,2022-05-09,Need State 3,1523069.25,3703206.75
423,2022,19,2022-05-09,Need State 4,795934.5,1740779.25
424,2022,19,2022-05-09,Need State 5,2419461.0,2300214.75
425,2022,19,2022-05-09,Need State 6,3242605.5,2731635.0
426,2022,20,2022-05-16,Need State 1,4528831.5,5089863.0
427,2022,20,2022-05-16,Need State 2,810265.5,2379420.0
428,2022,20,2022-05-16,Need State 3,1501898.25,3692773.5
429,2022,20,2022-05-16,Need State 4,863393.25,1692465.0
430,2022,20,2022-05-16,Need State 5,2238211.5,1986108.75
431,2022,20,2022-05-16,Need State 6,3880253.25,2653677.0
432,2022,21,2022-05-23,Need State 1,5149377.75,5474871.0
433,2022,21,2022-05-23,Need State 2,662451.0,2445935.25
434,2022,21,2022-05-23,Need State 3,1463990.25,3776847.75
435,2022,21,2022-05-23,Need State 4,825695.25,1743278.25
436,2022,21,2022-05-23,Need State 5,2051296.5,2027337.0
437,2022,21,2022-05-23,Need State 6,3874480.5,2808366.0
438,2022,22,2022-05-30,Need State 1,5295673.5,5877516.0
439,2022,22,2022-05-30,Need State 2,680552.25,2698783.5
